"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",504
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",973
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",975
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",976
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",977
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",507
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",979
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",980
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",981
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",982
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",983
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",963
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",969
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",974
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",984
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",509
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",986
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",988
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",989
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",517
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",992
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",994
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",995
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",519
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",997
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",998
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",999
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1000
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",1001
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",1003
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",531
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1005
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1007
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1008
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1010
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1012
